base2_10_0_prog.c,base2_10_1_prog.c,base2_10_2_prog.c,base2_10_3_prog.c,base2_10_4_prog.c,base2_50_0_prog.c,base2_50_1_prog.c,base2_50_2_prog.c,base2_50_3_prog.c,base2_50_4_prog.c,base2_250_0_prog.c,base2_250_1_prog.c,base2_250_2_prog.c,base2_250_3_prog.c,base2_250_4_prog.c,base2_1000_0_prog.c,base2_1000_1_prog.c,base2_1000_2_prog.c,base2_1000_3_prog.c,base2_1000_4_prog.c,base2_5000_0_prog.c,base2_5000_1_prog.c,base2_5000_2_prog.c,base2_5000_3_prog.c,base2_5000_4_prog.c,base2_10000_0_prog.c,base2_10000_1_prog.c,base2_10000_2_prog.c,base2_10000_3_prog.c,base2_10000_4_prog.c,simd2_10_0_prog.c,simd2_10_1_prog.c,simd2_10_2_prog.c,simd2_10_3_prog.c,simd2_10_4_prog.c,simd2_50_0_prog.c,simd2_50_1_prog.c,simd2_50_2_prog.c,simd2_50_3_prog.c,simd2_50_4_prog.c,simd2_250_0_prog.c,simd2_250_1_prog.c,simd2_250_2_prog.c,simd2_250_3_prog.c,simd2_250_4_prog.c,simd2_1000_0_prog.c,simd2_1000_1_prog.c,simd2_1000_2_prog.c,simd2_1000_3_prog.c,simd2_1000_4_prog.c,simd2_5000_0_prog.c,simd2_5000_1_prog.c,simd2_5000_2_prog.c,simd2_5000_3_prog.c,simd2_5000_4_prog.c,simd2_10000_0_prog.c,simd2_10000_1_prog.c,simd2_10000_2_prog.c,simd2_10000_3_prog.c,simd2_10000_4_prog.c,cuda2_10_0_prog.cu,cuda2_10_1_prog.cu,cuda2_10_2_prog.cu,cuda2_10_3_prog.cu,cuda2_10_4_prog.cu,cuda2_50_0_prog.cu,cuda2_50_1_prog.cu,cuda2_50_2_prog.cu,cuda2_50_3_prog.cu,cuda2_50_4_prog.cu,cuda2_250_0_prog.cu,cuda2_250_1_prog.cu,cuda2_250_2_prog.cu,cuda2_250_3_prog.cu,cuda2_250_4_prog.cu,cuda2_1000_0_prog.cu,cuda2_1000_1_prog.cu,cuda2_1000_2_prog.cu,cuda2_1000_3_prog.cu,cuda2_1000_4_prog.cu,cuda2_5000_0_prog.cu,cuda2_5000_1_prog.cu,cuda2_5000_2_prog.cu,cuda2_5000_3_prog.cu,cuda2_5000_4_prog.cu,cuda2_10000_0_prog.cu,cuda2_10000_1_prog.cu,cuda2_10000_2_prog.cu,cuda2_10000_3_prog.cu,cuda2_10000_4_prog.cu
706,807,800,774,764,784,631,813,792,751,1123,935,812,1034,1047,1883,1874,1743,1805,1743,6654,6343,6951,6156,9732,12486,14884,16586,16453,15840,799,707,812,765,785,917,1029,790,830,917,880,927,945,1038,1080,2157,2016,1789,2360,2041,7799,7129,6666,7506,6579,17153,15996,14639,14579,17203,146,210,146,145,141,145,149,148,145,143,135,143,149,147,147,174,171,174,170,164,301,301,303,303,301,498,493,483,604,368
694,676,714,719,724,690,741,986,712,749,803,798,778,742,803,1034,1082,1095,1071,1032,2933,3300,3535,2826,2846,6344,7906,8668,5641,5931,626,686,640,656,724,794,745,661,765,760,841,785,812,859,809,1892,1106,1211,1079,1091,3250,2807,3505,2816,3824,8960,7266,8883,7768,9848,145,146,149,123,144,143,147,143,451,146,149,148,146,149,152,151,173,176,180,176,303,301,300,302,299,483,557,485,497,478
709,720,715,712,712,716,751,792,722,754,843,741,785,796,758,1064,1110,1084,1066,1081,2915,3027,2890,3288,4450,14169,6132,5708,8522,7725,608,725,756,727,643,732,703,730,748,754,838,736,746,850,843,1055,1041,1114,1241,993,2792,3380,3035,2870,4608,8665,8034,8495,7942,9860,147,152,148,148,142,147,545,540,148,144,150,153,152,145,412,168,173,179,173,170,302,300,17,305,299,662,498,483,492,480
722,740,698,711,745,679,694,823,777,731,848,764,793,772,835,1710,1033,1044,1049,1383,3384,2830,3149,3325,2957,8854,6686,8053,9269,7616,761,711,696,793,673,756,620,716,745,776,844,761,841,836,933,1044,1064,1081,1206,1041,3613,2988,2945,2864,2774,8563,7304,8860,8826,8112,148,140,144,148,145,159,144,144,126,209,148,145,148,534,162,177,179,173,181,179,354,241,313,307,303,507,496,392,532,494
726,715,717,598,733,751,718,694,863,762,790,724,793,810,755,1051,1043,1054,1061,1100,2853,3166,3988,3526,2992,7745,8280,7449,7769,7425,691,678,712,750,730,759,701,725,716,781,829,799,845,830,841,1395,1108,1025,1142,1170,3040,2944,3103,2588,2895,7460,7445,8137,7931,7572,151,143,23,152,142,142,142,141,149,145,152,152,157,145,145,178,229,175,177,215,306,300,347,312,301,361,491,493,488,484
656,797,724,672,715,742,734,909,773,724,793,853,785,784,764,1120,1046,1087,1056,1340,2882,3037,2877,2896,2908,7482,7246,7802,7289,11854,674,641,698,736,745,797,695,663,803,751,825,833,771,834,777,1179,1032,1095,1072,1094,3247,5064,2888,3169,2852,10318,8099,8033,9258,7210,149,142,148,139,142,147,467,145,148,131,148,146,148,157,148,174,170,181,173,614,303,309,299,308,299,504,484,488,487,493
724,701,732,743,680,742,724,781,802,704,785,767,823,774,1018,1020,1299,1048,1114,1034,2886,2884,2771,2788,2908,7678,7967,7785,5692,7426,723,694,718,625,716,777,695,889,713,752,845,713,761,767,773,1133,1113,1179,1402,1023,2808,4106,2996,2709,3796,7854,7744,5634,7647,7967,149,145,148,151,148,146,191,143,159,144,148,548,150,569,155,174,173,477,190,173,311,309,217,306,311,517,324,497,495,455
716,690,627,790,627,712,731,976,643,745,795,827,778,786,700,1051,1458,1069,1024,1255,2800,3901,3060,3102,3355,7341,5691,7348,5756,7677,705,728,635,727,631,741,724,710,703,747,945,844,750,818,747,1015,1454,1192,974,985,2952,3018,3119,4362,2771,10841,7180,7660,7627,8966,146,145,157,146,143,145,149,144,143,145,478,149,146,148,147,175,174,176,175,177,301,307,312,275,294,487,538,494,495,537
731,691,714,709,636,749,740,977,1058,722,774,917,718,1075,794,1042,1105,1052,1068,1365,2965,2986,2862,3104,3705,7399,5846,7215,7429,5757,678,678,702,707,618,813,723,726,741,820,796,800,781,850,832,1190,1178,1042,1093,1388,2833,3047,3034,3260,3006,7574,7377,10612,7334,7930,150,144,526,196,460,132,145,225,145,142,148,538,24,149,155,173,175,185,172,173,310,238,308,306,315,501,484,490,534,491
738,657,691,708,728,755,726,649,668,725,782,806,774,781,827,1282,1067,1107,1011,1086,2817,2878,3353,2915,2861,6000,7566,7400,8504,7916,663,708,656,739,724,741,709,740,756,752,768,819,836,835,758,1045,1469,1049,1004,1058,2887,3645,2883,2812,2846,7364,7678,7743,7563,9863,155,207,144,121,206,145,142,150,177,150,151,225,148,24,161,175,171,174,174,178,303,304,300,299,299,491,485,490,496,482
